targetWord,age_group,pc,num_subjects
carrot,10,0.9629629629629629,54
carrot,11,0.9545454545454546,22
carrot,25,1,69
cassette,3,0.6666666666666666,3
cassette,4,1,2
cassette,5,1,2
cassette,6,0.6666666666666666,3
cassette,7,0.7272727272727273,11
cassette,8,0.8857142857142857,35
cassette,9,0.8771929824561403,57
cassette,10,0.9649122807017544,57
cassette,11,0.9565217391304348,23
cassette,25,1,77
cheese,3,0.375,8
cheese,4,0.4,5
cheese,5,0.5,2
cheese,6,0.8,5
cheese,7,0.7272727272727273,11
cheese,8,0.5,51
cheese,9,0.5,66
cheese,10,0.5121951219512195,40
cheese,11,0.44,25
cheese,25,0.8805970149253731,67
cloak,3,0.5,4
cloak,4,0.6666666666666666,3
cloak,5,0.4,5
cloak,6,0,1
cloak,7,0.5333333333333333,15
cloak,8,0.6382978723404256,47
cloak,9,0.6666666666666666,57
cloak,10,0.8275862068965517,58
cloak,11,0.92,24
cloak,25,0.9324324324324325,74
clothespin,3,1,3
clothespin,4,1,1
clothespin,5,0.7142857142857143,7
clothespin,6,0.5,2
clothespin,7,0.8333333333333334,12
clothespin,8,0.6896551724137931,58
clothespin,9,0.7073170731707317,41
clothespin,10,0.78,50
clothespin,11,0.8,20
clothespin,25,0.9305555555555556,72
coaster,3,0.8,5
coaster,4,0,4
coaster,5,0.75,4
coaster,6,0.6,5
coaster,7,0.6666666666666666,9
coaster,8,0.7857142857142857,42
coaster,9,0.8596491228070176,57
coaster,10,0.8490566037735849,53
coaster,11,0.8888888888888888,27
coaster,25,0.9883720930232558,86
cork,3,1,2
cork,4,0.6666666666666666,3
cork,5,0.6,5
cork,6,1,5
cork,7,0.6923076923076923,13
cork,8,0.7818181818181819,55
cork,9,0.864406779661017,59
cork,10,0.8636363636363636,44
cork,11,0.8571428571428571,28
cork,25,1,65
cornbread,3,0,2
cornbread,4,0.8,5
cornbread,5,0.75,4
cornbread,6,1,1
cornbread,7,0.85,20
cornbread,8,0.8809523809523809,42
cornbread,9,0.7068965517241379,58
cornbread,10,0.813953488372093,43
cornbread,11,0.9523809523809523,21
cornbread,25,1,55
corset,3,1,1
corset,4,0.3333333333333333,3
corset,5,0.3333333333333333,6
corset,6,0.3333333333333333,3
corset,7,0.25,12
corset,8,0.4666666666666667,45
corset,9,0.5573770491803278,61
corset,10,0.62,50
corset,11,0.7619047619047619,21
corset,25,0.96875,64
cymbal,3,0.8,5
cymbal,4,0.5,2
cymbal,5,1,3
cymbal,6,1,5
cymbal,7,0.8181818181818182,11
cymbal,8,0.9038461538461539,52
cymbal,9,0.8428571428571429,70
cymbal,10,0.8490566037735849,53
cymbal,11,0.8095238095238095,21
cymbal,25,0.9649122807017544,57
dumpling,3,1,6
dumpling,4,0,1
dumpling,5,0.6666666666666666,3
dumpling,6,0.8,5
dumpling,7,0.75,12
dumpling,8,0.8627450980392157,51
dumpling,9,0.8,70
dumpling,10,0.7777777777777778,54
dumpling,11,0.8461538461538461,13
dumpling,25,0.9696969696969697,66
elbow,3,0.6666666666666666,3
elbow,4,0.5,2
elbow,5,1,5
elbow,6,1,4
elbow,7,0.9285714285714286,14
elbow,8,0.9215686274509803,51
elbow,9,0.9459459459459459,74
elbow,10,0.9607843137254902,51
elbow,11,0.9545454545454546,22
elbow,25,1,74
fan,3,1,3
fan,4,1,2
fan,5,0.5,2
fan,6,1,7
fan,7,0.9285714285714286,14
fan,8,0.9803921568627451,51
fan,9,0.9056603773584906,52
fan,10,0.9512195121951219,41
fan,11,0.9523809523809523,21
fan,25,0.9879518072289156,83
flan,3,0.5,4
flan,4,1,1
flan,5,0.5,2
flan,6,0.75,4
flan,7,0.375,16
flan,8,0.5,48
flan,9,0.5849056603773585,53
flan,10,0.68,50
flan,11,0.6111111111111112,18
flan,25,0.92,75
foam,3,1,2
foam,4,0.5,2
foam,5,0.6666666666666666,3
foam,6,1,2
foam,7,0.7619047619047619,21
foam,8,0.7352941176470589,34
foam,9,0.84375,64
foam,10,0.84,50
foam,11,0.8947368421052632,19
foam,25,0.9577464788732394,71
footbath,3,1,3
footbath,4,0.8,5
footbath,5,1,3
footbath,6,1,4
footbath,7,0.9444444444444444,18
footbath,8,0.9423076923076923,52
footbath,9,0.9836065573770492,61
footbath,10,0.9636363636363636,55
footbath,11,1,18
footbath,25,0.9850746268656716,67
fox,3,1,3
fox,4,0.6666666666666666,3
fox,5,1,2
fox,6,1,6
fox,7,0.8333333333333334,18
fox,8,0.8863636363636364,44
fox,9,0.9016393442622951,61
fox,10,0.9322033898305084,59
fox,11,0.9230769230769231,26
fox,25,0.9696969696969697,66
freezer,3,1,2
freezer,5,0.42857142857142855,7
freezer,6,0.6666666666666666,3
freezer,7,0.6666666666666666,18
freezer,8,0.5555555555555556,45
freezer,9,0.41509433962264153,53
freezer,10,0.55,40
freezer,11,0.25,16
freezer,25,0.9180327868852459,61
fruitcake,3,0.2,5
fruitcake,5,0.8,5
fruitcake,6,1,2
fruitcake,7,0.75,20
fruitcake,8,0.9444444444444444,36
fruitcake,9,0.95,60
fruitcake,10,1,36
fruitcake,11,0.9090909090909091,22
fruitcake,25,1,50
gondola,3,0.8333333333333334,6
